2023-05-21 18:39: Experiment log path in: C:\旧电脑文件\毕业相关\第二个模型\TATCN\TARGCN\model\experiments\PEMSD4\20230521183948
2023-05-21 18:42: **********Train Epoch 1: averaged Loss: 26.854354, tf_ratio: 1.000000
2023-05-21 18:42: **********Val Epoch 1: average Loss: 27.521868
2023-05-21 18:42: ******Current best model saved:model_para/PEMSD4/epoch_1.pth!
2023-05-21 18:42: Train Epoch 2: 0/317 Loss: 25.924622
2023-05-21 18:42: Train Epoch 2: 20/317 Loss: 25.188972
2023-05-21 18:43: Train Epoch 2: 40/317 Loss: 29.853207
2023-05-21 18:43: Train Epoch 2: 60/317 Loss: 23.364019
2023-05-21 18:43: Train Epoch 2: 80/317 Loss: 25.467825
2023-05-21 18:43: Train Epoch 2: 100/317 Loss: 26.349257
2023-05-21 18:43: Train Epoch 2: 120/317 Loss: 24.759031
2023-05-21 18:43: Train Epoch 2: 140/317 Loss: 24.456717
2023-05-21 18:43: Train Epoch 2: 160/317 Loss: 21.626982
2023-05-21 18:43: Train Epoch 2: 180/317 Loss: 27.842640
2023-05-21 18:43: Train Epoch 2: 200/317 Loss: 26.308453
2023-05-21 18:43: Train Epoch 2: 220/317 Loss: 24.519905
2023-05-21 18:43: Train Epoch 2: 240/317 Loss: 26.198685
2023-05-21 18:44: Train Epoch 2: 260/317 Loss: 23.940371
2023-05-21 18:44: Train Epoch 2: 280/317 Loss: 23.508125
2023-05-21 18:44: Train Epoch 2: 300/317 Loss: 26.367575
2023-05-21 18:44: **********Train Epoch 2: averaged Loss: 25.030784, tf_ratio: 1.000000
2023-05-21 18:44: **********Val Epoch 2: average Loss: 25.409140
2023-05-21 18:44: ******Current best model saved:model_para/PEMSD4/epoch_2.pth!
2023-05-21 18:44: Train Epoch 3: 0/317 Loss: 24.068291
2023-05-21 18:44: Train Epoch 3: 20/317 Loss: 20.817991
2023-05-21 18:44: Train Epoch 3: 40/317 Loss: 24.759268
2023-05-21 18:44: Train Epoch 3: 60/317 Loss: 23.193069
2023-05-21 18:44: Train Epoch 3: 80/317 Loss: 23.434608
2023-05-21 18:44: Train Epoch 3: 100/317 Loss: 21.874025
2023-05-21 18:44: Train Epoch 3: 120/317 Loss: 21.992256
2023-05-21 18:45: Train Epoch 3: 140/317 Loss: 24.159069
2023-05-21 18:45: Train Epoch 3: 160/317 Loss: 26.151241
2023-05-21 18:45: Train Epoch 3: 180/317 Loss: 22.692102
2023-05-21 18:45: Train Epoch 3: 200/317 Loss: 27.655109
2023-05-21 18:45: Train Epoch 3: 220/317 Loss: 24.087580
2023-05-21 18:45: Train Epoch 3: 240/317 Loss: 27.858727
2023-05-21 18:45: Train Epoch 3: 260/317 Loss: 26.992695
2023-05-21 18:45: Train Epoch 3: 280/317 Loss: 22.489494
2023-05-21 18:45: Train Epoch 3: 300/317 Loss: 21.982527
2023-05-21 18:45: **********Train Epoch 3: averaged Loss: 24.361265, tf_ratio: 1.000000
2023-05-21 18:46: **********Val Epoch 3: average Loss: 24.657910
2023-05-21 18:46: ******Current best model saved:model_para/PEMSD4/epoch_3.pth!
2023-05-21 18:46: Train Epoch 4: 0/317 Loss: 22.823214
2023-05-21 18:46: Train Epoch 4: 20/317 Loss: 23.788954
2023-05-21 18:46: Train Epoch 4: 40/317 Loss: 21.119600
2023-05-21 18:46: Train Epoch 4: 60/317 Loss: 27.298344
2023-05-21 18:46: Train Epoch 4: 80/317 Loss: 25.560368
2023-05-21 18:46: Train Epoch 4: 100/317 Loss: 23.406034
2023-05-21 18:46: Train Epoch 4: 120/317 Loss: 21.858091
2023-05-21 18:46: Train Epoch 4: 140/317 Loss: 23.231140
2023-05-21 18:46: Train Epoch 4: 160/317 Loss: 23.818136
2023-05-21 18:46: Train Epoch 4: 180/317 Loss: 19.522856
2023-05-21 18:46: Train Epoch 4: 200/317 Loss: 24.658350
2023-05-21 18:47: Train Epoch 4: 220/317 Loss: 24.305225
2023-05-21 18:47: Train Epoch 4: 240/317 Loss: 22.714306
2023-05-21 18:47: Train Epoch 4: 260/317 Loss: 24.687609
2023-05-21 18:47: Train Epoch 4: 280/317 Loss: 23.156769
2023-05-21 18:47: Train Epoch 4: 300/317 Loss: 25.285250
2023-05-21 18:47: **********Train Epoch 4: averaged Loss: 23.894409, tf_ratio: 1.000000
2023-05-21 18:47: **********Val Epoch 4: average Loss: 24.699097
2023-05-21 18:47: Train Epoch 5: 0/317 Loss: 22.953533
2023-05-21 18:47: Train Epoch 5: 20/317 Loss: 22.968870
2023-05-21 18:47: Train Epoch 5: 40/317 Loss: 25.172314
2023-05-21 18:47: Train Epoch 5: 60/317 Loss: 24.064592
2023-05-21 18:47: Train Epoch 5: 80/317 Loss: 20.997192
2023-05-21 18:48: Train Epoch 5: 100/317 Loss: 20.804762
2023-05-21 18:48: Train Epoch 5: 120/317 Loss: 25.242249
2023-05-21 18:48: Train Epoch 5: 140/317 Loss: 20.607523
2023-05-21 18:48: Train Epoch 5: 160/317 Loss: 23.877945
2023-05-21 18:48: Train Epoch 5: 180/317 Loss: 23.831442
2023-05-21 18:48: Train Epoch 5: 200/317 Loss: 22.820177
2023-05-21 18:48: Train Epoch 5: 220/317 Loss: 24.846338
2023-05-21 18:48: Train Epoch 5: 240/317 Loss: 22.005756
2023-05-21 18:48: Train Epoch 5: 260/317 Loss: 24.357948
2023-05-21 18:48: Train Epoch 5: 280/317 Loss: 24.520561
2023-05-21 18:48: Train Epoch 5: 300/317 Loss: 22.761843
2023-05-21 18:49: **********Train Epoch 5: averaged Loss: 23.630664, tf_ratio: 1.000000
2023-05-21 18:49: **********Val Epoch 5: average Loss: 24.158263
2023-05-21 18:49: ******Current best model saved:model_para/PEMSD4/epoch_5.pth!
2023-05-21 18:49: Train Epoch 6: 0/317 Loss: 23.324368
2023-05-21 18:49: Train Epoch 6: 20/317 Loss: 23.619324
2023-05-21 18:49: Train Epoch 6: 40/317 Loss: 21.380222
2023-05-21 18:49: Train Epoch 6: 60/317 Loss: 21.909193
2023-05-21 18:49: Train Epoch 6: 80/317 Loss: 24.433195
2023-05-21 18:49: Train Epoch 6: 100/317 Loss: 23.738846
2023-05-21 18:49: Train Epoch 6: 120/317 Loss: 22.174498
2023-05-21 18:49: Train Epoch 6: 140/317 Loss: 25.617546
2023-05-21 18:49: Train Epoch 6: 160/317 Loss: 22.729439
2023-05-21 18:50: Train Epoch 6: 180/317 Loss: 18.293936
2023-05-21 18:50: Train Epoch 6: 200/317 Loss: 21.949680
2023-05-21 18:50: Train Epoch 6: 220/317 Loss: 24.678799
2023-05-21 18:50: Train Epoch 6: 240/317 Loss: 20.440969
2023-05-21 18:50: Train Epoch 6: 260/317 Loss: 23.835747
2023-05-21 18:50: Train Epoch 6: 280/317 Loss: 26.428453
2023-05-21 18:50: Train Epoch 6: 300/317 Loss: 22.818541
2023-05-21 18:50: **********Train Epoch 6: averaged Loss: 23.241960, tf_ratio: 1.000000
2023-05-21 18:50: **********Val Epoch 6: average Loss: 25.613235
2023-05-21 18:50: Train Epoch 7: 0/317 Loss: 24.987303
2023-05-21 18:50: Train Epoch 7: 20/317 Loss: 24.722736
2023-05-21 18:50: Train Epoch 7: 40/317 Loss: 23.237200
2023-05-21 18:51: Train Epoch 7: 60/317 Loss: 22.540133
2023-05-21 18:51: Train Epoch 7: 80/317 Loss: 25.840033
2023-05-21 18:51: Train Epoch 7: 100/317 Loss: 25.557030
2023-05-21 18:51: Train Epoch 7: 120/317 Loss: 21.925907
2023-05-21 18:51: Train Epoch 7: 140/317 Loss: 23.440899
2023-05-21 18:51: Train Epoch 7: 160/317 Loss: 20.883551
2023-05-21 18:51: Train Epoch 7: 180/317 Loss: 19.137901
2023-05-21 18:51: Train Epoch 7: 200/317 Loss: 23.490299
2023-05-21 18:51: Train Epoch 7: 220/317 Loss: 23.627066
2023-05-21 18:51: Train Epoch 7: 240/317 Loss: 27.264618
2023-05-21 18:51: Train Epoch 7: 260/317 Loss: 20.966722
2023-05-21 18:52: Train Epoch 7: 280/317 Loss: 22.442757
2023-05-21 18:52: Train Epoch 7: 300/317 Loss: 22.431406
2023-05-21 18:52: **********Train Epoch 7: averaged Loss: 22.956665, tf_ratio: 1.000000
2023-05-21 18:52: **********Val Epoch 7: average Loss: 23.327435
2023-05-21 18:52: ******Current best model saved:model_para/PEMSD4/epoch_7.pth!
2023-05-21 18:52: Train Epoch 8: 0/317 Loss: 21.704689
2023-05-21 18:52: Train Epoch 8: 20/317 Loss: 23.710110
2023-05-21 18:52: Train Epoch 8: 40/317 Loss: 25.095196
2023-05-21 18:52: Train Epoch 8: 60/317 Loss: 25.182156
2023-05-21 18:52: Train Epoch 8: 80/317 Loss: 21.813141
2023-05-21 18:52: Train Epoch 8: 100/317 Loss: 20.521482
2023-05-21 18:52: Train Epoch 8: 120/317 Loss: 21.891422
2023-05-21 18:53: Train Epoch 8: 140/317 Loss: 22.714216
2023-05-21 18:53: Train Epoch 8: 160/317 Loss: 23.403168
2023-05-21 18:53: Train Epoch 8: 180/317 Loss: 22.060350
2023-05-21 18:53: Train Epoch 8: 200/317 Loss: 22.037638
2023-05-21 18:53: Train Epoch 8: 220/317 Loss: 22.649677
2023-05-21 18:53: Train Epoch 8: 240/317 Loss: 24.365423
2023-05-21 18:53: Train Epoch 8: 260/317 Loss: 22.617264
2023-05-21 18:53: Train Epoch 8: 280/317 Loss: 24.300217
2023-05-21 18:53: Train Epoch 8: 300/317 Loss: 22.522057
2023-05-21 18:53: **********Train Epoch 8: averaged Loss: 22.943878, tf_ratio: 1.000000
2023-05-21 18:54: **********Val Epoch 8: average Loss: 24.016952
2023-05-21 18:54: Train Epoch 9: 0/317 Loss: 23.435009
2023-05-21 18:54: Train Epoch 9: 20/317 Loss: 25.542358
2023-05-21 18:54: Train Epoch 9: 40/317 Loss: 22.687031
2023-05-21 18:54: Train Epoch 9: 60/317 Loss: 22.781397
2023-05-21 18:54: Train Epoch 9: 80/317 Loss: 22.379623
2023-05-21 18:54: Train Epoch 9: 100/317 Loss: 21.205584
2023-05-21 18:54: Train Epoch 9: 120/317 Loss: 20.585510
2023-05-21 18:54: Train Epoch 9: 140/317 Loss: 20.834467
2023-05-21 18:54: Train Epoch 9: 160/317 Loss: 20.207664
2023-05-21 18:54: Train Epoch 9: 180/317 Loss: 20.269808
2023-05-21 18:54: Train Epoch 9: 200/317 Loss: 21.062569
2023-05-21 18:55: Train Epoch 9: 220/317 Loss: 25.666981
2023-05-21 18:55: Train Epoch 9: 240/317 Loss: 22.313457
2023-05-21 18:55: Train Epoch 9: 260/317 Loss: 24.109922
2023-05-21 18:55: Train Epoch 9: 280/317 Loss: 22.667013
2023-05-21 18:55: Train Epoch 9: 300/317 Loss: 22.157337
2023-05-21 18:55: **********Train Epoch 9: averaged Loss: 22.676189, tf_ratio: 1.000000
2023-05-21 18:55: **********Val Epoch 9: average Loss: 22.859062
2023-05-21 18:55: ******Current best model saved:model_para/PEMSD4/epoch_9.pth!
2023-05-21 18:55: Train Epoch 10: 0/317 Loss: 18.808893
2023-05-21 18:55: Train Epoch 10: 20/317 Loss: 24.718664
2023-05-21 18:55: Train Epoch 10: 40/317 Loss: 24.611818
2023-05-21 18:55: Train Epoch 10: 60/317 Loss: 22.354340
2023-05-21 18:56: Train Epoch 10: 80/317 Loss: 20.894138
2023-05-21 18:56: Train Epoch 10: 100/317 Loss: 24.149973
2023-05-21 18:56: Train Epoch 10: 120/317 Loss: 25.265177
2023-05-21 18:56: Train Epoch 10: 140/317 Loss: 23.416286
2023-05-21 18:56: Train Epoch 10: 160/317 Loss: 25.988829
2023-05-21 18:56: Train Epoch 10: 180/317 Loss: 23.021648
2023-05-21 18:56: Train Epoch 10: 200/317 Loss: 20.367897
2023-05-21 18:56: Train Epoch 10: 220/317 Loss: 22.280224
2023-05-21 18:56: Train Epoch 10: 240/317 Loss: 20.189804
2023-05-21 18:56: Train Epoch 10: 260/317 Loss: 23.661518
2023-05-21 18:56: Train Epoch 10: 280/317 Loss: 22.163660
2023-05-21 18:57: Train Epoch 10: 300/317 Loss: 23.355139
2023-05-21 18:57: **********Train Epoch 10: averaged Loss: 22.459080, tf_ratio: 1.000000
2023-05-21 18:57: **********Val Epoch 10: average Loss: 23.427268
2023-05-21 18:57: Train Epoch 11: 0/317 Loss: 24.550484
2023-05-21 18:57: Train Epoch 11: 20/317 Loss: 22.969143
2023-05-21 18:57: Train Epoch 11: 40/317 Loss: 22.249996
2023-05-21 18:57: Train Epoch 11: 60/317 Loss: 24.997559
2023-05-21 18:57: Train Epoch 11: 80/317 Loss: 21.565828
2023-05-21 18:57: Train Epoch 11: 100/317 Loss: 21.050077
2023-05-21 18:57: Train Epoch 11: 120/317 Loss: 20.487150
2023-05-21 18:58: Train Epoch 11: 140/317 Loss: 24.764664
2023-05-21 18:58: Train Epoch 11: 160/317 Loss: 21.265669
2023-05-21 18:58: Train Epoch 11: 180/317 Loss: 20.522924
2023-05-21 18:58: Train Epoch 11: 200/317 Loss: 22.292492
2023-05-21 18:58: Train Epoch 11: 220/317 Loss: 23.860319
2023-05-21 18:58: Train Epoch 11: 240/317 Loss: 21.389977
2023-05-21 18:58: Train Epoch 11: 260/317 Loss: 23.826887
2023-05-21 18:58: Train Epoch 11: 280/317 Loss: 22.566372
2023-05-21 18:58: Train Epoch 11: 300/317 Loss: 21.060694
2023-05-21 18:58: **********Train Epoch 11: averaged Loss: 22.229881, tf_ratio: 1.000000
2023-05-21 18:58: **********Val Epoch 11: average Loss: 26.116752
2023-05-21 18:58: Train Epoch 12: 0/317 Loss: 26.861530
2023-05-21 18:59: Train Epoch 12: 20/317 Loss: 23.047495
2023-05-21 18:59: Train Epoch 12: 40/317 Loss: 18.640902
2023-05-21 18:59: Train Epoch 12: 60/317 Loss: 21.418322
2023-05-21 18:59: Train Epoch 12: 80/317 Loss: 23.114523
2023-05-21 18:59: Train Epoch 12: 100/317 Loss: 23.937378
2023-05-21 18:59: Train Epoch 12: 120/317 Loss: 21.395100
2023-05-21 18:59: Train Epoch 12: 140/317 Loss: 20.163996
2023-05-21 18:59: Train Epoch 12: 160/317 Loss: 22.942417
2023-05-21 18:59: Train Epoch 12: 180/317 Loss: 22.816406
2023-05-21 18:59: Train Epoch 12: 200/317 Loss: 21.514744
2023-05-21 18:59: Train Epoch 12: 220/317 Loss: 20.303177
2023-05-21 18:59: Train Epoch 12: 240/317 Loss: 19.448864
2023-05-21 19:00: Train Epoch 12: 260/317 Loss: 21.818108
2023-05-21 19:00: Train Epoch 12: 280/317 Loss: 21.841635
2023-05-21 19:00: Train Epoch 12: 300/317 Loss: 19.282930
2023-05-21 19:00: **********Train Epoch 12: averaged Loss: 22.200454, tf_ratio: 1.000000
2023-05-21 19:00: **********Val Epoch 12: average Loss: 22.561150
2023-05-21 19:00: ******Current best model saved:model_para/PEMSD4/epoch_12.pth!
2023-05-21 19:00: Train Epoch 13: 0/317 Loss: 21.913612
2023-05-21 19:00: Train Epoch 13: 20/317 Loss: 20.225668
2023-05-21 19:00: Train Epoch 13: 40/317 Loss: 19.818930
2023-05-21 19:00: Train Epoch 13: 60/317 Loss: 20.710306
2023-05-21 19:00: Train Epoch 13: 80/317 Loss: 24.072361
2023-05-21 19:00: Train Epoch 13: 100/317 Loss: 23.185839
2023-05-21 19:00: Train Epoch 13: 120/317 Loss: 20.410164
2023-05-21 19:01: Train Epoch 13: 140/317 Loss: 20.853922
2023-05-21 19:01: Train Epoch 13: 160/317 Loss: 24.555338
2023-05-21 19:01: Train Epoch 13: 180/317 Loss: 20.798418
2023-05-21 19:01: Train Epoch 13: 200/317 Loss: 22.226595
2023-05-21 19:01: Train Epoch 13: 220/317 Loss: 21.225098
2023-05-21 19:01: Train Epoch 13: 240/317 Loss: 22.880394
2023-05-21 19:01: Train Epoch 13: 260/317 Loss: 21.395050
2023-05-21 19:01: Train Epoch 13: 280/317 Loss: 23.625553
2023-05-21 19:01: Train Epoch 13: 300/317 Loss: 23.430613
2023-05-21 19:01: **********Train Epoch 13: averaged Loss: 22.072775, tf_ratio: 1.000000
2023-05-21 19:01: **********Val Epoch 13: average Loss: 22.697299
2023-05-21 19:01: Train Epoch 14: 0/317 Loss: 22.350790
2023-05-21 19:01: Train Epoch 14: 20/317 Loss: 22.808496
2023-05-21 19:02: Train Epoch 14: 40/317 Loss: 22.718307
2023-05-21 19:02: Train Epoch 14: 60/317 Loss: 22.068150
2023-05-21 19:02: Train Epoch 14: 80/317 Loss: 22.470074
2023-05-21 19:02: Train Epoch 14: 100/317 Loss: 20.178165
2023-05-21 19:02: Train Epoch 14: 120/317 Loss: 21.058418
2023-05-21 19:02: Train Epoch 14: 140/317 Loss: 20.455616
2023-05-21 19:02: Train Epoch 14: 160/317 Loss: 18.508381
2023-05-21 19:02: Train Epoch 14: 180/317 Loss: 20.028299
2023-05-21 19:02: Train Epoch 14: 200/317 Loss: 22.328432
2023-05-21 19:02: Train Epoch 14: 220/317 Loss: 21.300932
2023-05-21 19:02: Train Epoch 14: 240/317 Loss: 20.037977
2023-05-21 19:02: Train Epoch 14: 260/317 Loss: 21.597631
2023-05-21 19:03: Train Epoch 14: 280/317 Loss: 20.837673
2023-05-21 19:03: Train Epoch 14: 300/317 Loss: 21.861700
2023-05-21 19:03: **********Train Epoch 14: averaged Loss: 21.907794, tf_ratio: 1.000000
2023-05-21 19:03: **********Val Epoch 14: average Loss: 22.640391
2023-05-21 19:03: Train Epoch 15: 0/317 Loss: 21.514748
2023-05-21 19:03: Train Epoch 15: 20/317 Loss: 23.036512
2023-05-21 19:03: Train Epoch 15: 40/317 Loss: 21.420671
2023-05-21 19:03: Train Epoch 15: 60/317 Loss: 21.502045
2023-05-21 19:03: Train Epoch 15: 80/317 Loss: 21.305994
2023-05-21 19:03: Train Epoch 15: 100/317 Loss: 21.761282
2023-05-21 19:03: Train Epoch 15: 120/317 Loss: 20.693110
2023-05-21 19:03: Train Epoch 15: 140/317 Loss: 23.303467
2023-05-21 19:04: Train Epoch 15: 160/317 Loss: 25.536169
2023-05-21 19:04: Train Epoch 15: 180/317 Loss: 22.534769
2023-05-21 19:04: Train Epoch 15: 200/317 Loss: 21.314909
2023-05-21 19:04: Train Epoch 15: 220/317 Loss: 26.547056
2023-05-21 19:04: Train Epoch 15: 240/317 Loss: 23.084196
2023-05-21 19:04: Train Epoch 15: 260/317 Loss: 21.227497
2023-05-21 19:04: Train Epoch 15: 280/317 Loss: 21.393860
2023-05-21 19:04: Train Epoch 15: 300/317 Loss: 21.404100
2023-05-21 19:04: **********Train Epoch 15: averaged Loss: 21.777108, tf_ratio: 1.000000
2023-05-21 19:04: **********Val Epoch 15: average Loss: 23.316662
2023-05-21 19:04: Train Epoch 16: 0/317 Loss: 23.783049
2023-05-21 19:04: Train Epoch 16: 20/317 Loss: 21.888926
2023-05-21 19:04: Train Epoch 16: 40/317 Loss: 23.668575
2023-05-21 19:05: Train Epoch 16: 60/317 Loss: 20.630693
2023-05-21 19:05: Train Epoch 16: 80/317 Loss: 22.168509
2023-05-21 19:05: Train Epoch 16: 100/317 Loss: 23.243727
2023-05-21 19:05: Train Epoch 16: 120/317 Loss: 20.523756
2023-05-21 19:05: Train Epoch 16: 140/317 Loss: 20.969704
2023-05-21 19:05: Train Epoch 16: 160/317 Loss: 23.247007
2023-05-21 19:05: Train Epoch 16: 180/317 Loss: 22.503181
2023-05-21 19:05: Train Epoch 16: 200/317 Loss: 22.062717
2023-05-21 19:05: Train Epoch 16: 220/317 Loss: 22.400063
2023-05-21 19:05: Train Epoch 16: 240/317 Loss: 22.469307
2023-05-21 19:05: Train Epoch 16: 260/317 Loss: 20.558376
2023-05-21 19:06: Train Epoch 16: 280/317 Loss: 24.023426
2023-05-21 19:06: Train Epoch 16: 300/317 Loss: 20.271366
2023-05-21 19:06: **********Train Epoch 16: averaged Loss: 21.685436, tf_ratio: 1.000000
2023-05-21 19:06: **********Val Epoch 16: average Loss: 22.413160
2023-05-21 19:06: ******Current best model saved:model_para/PEMSD4/epoch_16.pth!
2023-05-21 19:06: Train Epoch 17: 0/317 Loss: 19.171995
2023-05-21 19:06: Train Epoch 17: 20/317 Loss: 21.671921
2023-05-21 19:06: Train Epoch 17: 40/317 Loss: 20.739311
2023-05-21 19:06: Train Epoch 17: 60/317 Loss: 20.399014
2023-05-21 19:06: Train Epoch 17: 80/317 Loss: 21.054438
2023-05-21 19:06: Train Epoch 17: 100/317 Loss: 23.222410
2023-05-21 19:06: Train Epoch 17: 120/317 Loss: 22.529882
2023-05-21 19:06: Train Epoch 17: 140/317 Loss: 21.167679
2023-05-21 19:06: Train Epoch 17: 160/317 Loss: 23.388220
2023-05-21 19:07: Train Epoch 17: 180/317 Loss: 21.078491
2023-05-21 19:07: Train Epoch 17: 200/317 Loss: 22.333458
2023-05-21 19:07: Train Epoch 17: 220/317 Loss: 21.371405
2023-05-21 19:07: Train Epoch 17: 240/317 Loss: 21.555901
2023-05-21 19:07: Train Epoch 17: 260/317 Loss: 20.076040
2023-05-21 19:07: Train Epoch 17: 280/317 Loss: 24.523581
2023-05-21 19:07: Train Epoch 17: 300/317 Loss: 20.371120
2023-05-21 19:07: **********Train Epoch 17: averaged Loss: 21.460632, tf_ratio: 1.000000
2023-05-21 19:07: **********Val Epoch 17: average Loss: 21.855822
2023-05-21 19:07: ******Current best model saved:model_para/PEMSD4/epoch_17.pth!
2023-05-21 19:07: Train Epoch 18: 0/317 Loss: 23.997507
2023-05-21 19:07: Train Epoch 18: 20/317 Loss: 21.521492
2023-05-21 19:07: Train Epoch 18: 40/317 Loss: 22.440762
2023-05-21 19:08: Train Epoch 18: 60/317 Loss: 20.924311
2023-05-21 19:08: Train Epoch 18: 80/317 Loss: 19.814985
2023-05-21 19:08: Train Epoch 18: 100/317 Loss: 23.201836
2023-05-21 19:08: Train Epoch 18: 120/317 Loss: 22.643854
2023-05-21 19:08: Train Epoch 18: 140/317 Loss: 21.942310
2023-05-21 19:08: Train Epoch 18: 160/317 Loss: 24.804502
2023-05-21 19:08: Train Epoch 18: 180/317 Loss: 22.155687
2023-05-21 19:08: Train Epoch 18: 200/317 Loss: 22.512417
2023-05-21 19:08: Train Epoch 18: 220/317 Loss: 18.710701
2023-05-21 19:08: Train Epoch 18: 240/317 Loss: 21.941792
2023-05-21 19:08: Train Epoch 18: 260/317 Loss: 22.162428
2023-05-21 19:08: Train Epoch 18: 280/317 Loss: 23.168030
2023-05-21 19:09: Train Epoch 18: 300/317 Loss: 19.979347
2023-05-21 19:09: **********Train Epoch 18: averaged Loss: 21.385727, tf_ratio: 1.000000
2023-05-21 19:09: **********Val Epoch 18: average Loss: 22.116401
2023-05-21 19:09: Train Epoch 19: 0/317 Loss: 18.418930
2023-05-21 19:09: Train Epoch 19: 20/317 Loss: 20.740030
2023-05-21 19:09: Train Epoch 19: 40/317 Loss: 22.333580
2023-05-21 19:09: Train Epoch 19: 60/317 Loss: 21.889204
2023-05-21 19:09: Train Epoch 19: 80/317 Loss: 22.887852
2023-05-21 19:09: Train Epoch 19: 100/317 Loss: 19.607746
2023-05-21 19:09: Train Epoch 19: 120/317 Loss: 22.763369
2023-05-21 19:09: Train Epoch 19: 140/317 Loss: 23.113581
2023-05-21 19:09: Train Epoch 19: 160/317 Loss: 20.794123
2023-05-21 19:10: Train Epoch 19: 180/317 Loss: 20.995823
2023-05-21 19:10: Train Epoch 19: 200/317 Loss: 20.892502
2023-05-21 19:10: Train Epoch 19: 220/317 Loss: 19.899126
2023-05-21 19:10: Train Epoch 19: 240/317 Loss: 20.368851
2023-05-21 19:10: Train Epoch 19: 260/317 Loss: 20.112494
2023-05-21 19:10: Train Epoch 19: 280/317 Loss: 19.481543
2023-05-21 19:10: Train Epoch 19: 300/317 Loss: 22.441591
2023-05-21 19:10: **********Train Epoch 19: averaged Loss: 21.362004, tf_ratio: 1.000000
2023-05-21 19:10: **********Val Epoch 19: average Loss: 22.560787
2023-05-21 19:10: Train Epoch 20: 0/317 Loss: 21.275761
2023-05-21 19:10: Train Epoch 20: 20/317 Loss: 23.816551
2023-05-21 19:10: Train Epoch 20: 40/317 Loss: 19.540295
2023-05-21 19:10: Train Epoch 20: 60/317 Loss: 20.555553
2023-05-21 19:11: Train Epoch 20: 80/317 Loss: 22.045713
2023-05-21 19:11: Train Epoch 20: 100/317 Loss: 23.360470
2023-05-21 19:11: Train Epoch 20: 120/317 Loss: 18.354952
2023-05-21 19:11: Train Epoch 20: 140/317 Loss: 20.585600
2023-05-21 19:11: Train Epoch 20: 160/317 Loss: 22.946751
2023-05-21 19:11: Train Epoch 20: 180/317 Loss: 18.732700
2023-05-21 19:11: Train Epoch 20: 200/317 Loss: 21.116673
2023-05-21 19:11: Train Epoch 20: 220/317 Loss: 22.704979
2023-05-21 19:11: Train Epoch 20: 240/317 Loss: 21.388514
2023-05-21 19:11: Train Epoch 20: 260/317 Loss: 20.353451
2023-05-21 19:11: Train Epoch 20: 280/317 Loss: 20.245087
2023-05-21 19:12: Train Epoch 20: 300/317 Loss: 23.230080
2023-05-21 19:12: **********Train Epoch 20: averaged Loss: 21.579685, tf_ratio: 1.000000
